==== Start v4_show | batch_size=128, replay=50000 ====
ep    58 | fail    | score   2046.99 | last_reward -500.0 | loss  12.080 | eps 0.100 | steps   60 | start_dist 750.0 | crash_dist 575.6 | final_dist 575.6 | reason: collision | fails_since_last=59 | 2042 ms
ep    59 | fail    | score   2268.74 | last_reward -500.0 | loss  11.543 | eps 0.100 | steps   65 | start_dist 750.0 | crash_dist 564.4 | final_dist 564.4 | reason: collision | fails_since_last=60 | 2209 ms
ep    60 | fail    | score   2149.56 | last_reward -500.0 | loss  11.044 | eps 0.100 | steps   62 | start_dist 750.0 | crash_dist 570.1 | final_dist 570.1 | reason: collision | fails_since_last=61 | 2109 ms
ep    61 | fail    | score   2062.48 | last_reward -500.0 | loss  10.940 | eps 0.100 | steps   60 | start_dist 750.0 | crash_dist 575.2 | final_dist 575.2 | reason: collision | fails_since_last=62 | 2039 ms
ep    62 | fail    | score   2277.02 | last_reward -500.0 | loss  10.634 | eps 0.100 | steps   65 | start_dist 750.0 | crash_dist 562.1 | final_dist 562.1 | reason: collision | fails_since_last=63 | 2213 ms
ep    63 | fail    | score   2407.22 | last_reward -500.0 | loss  10.752 | eps 0.100 | steps   68 | start_dist 750.0 | crash_dist 555.8 | final_dist 555.8 | reason: collision | fails_since_last=64 | 2312 ms
ep    64 | fail    | score   2106.84 | last_reward -500.0 | loss  11.166 | eps 0.100 | steps   61 | start_dist 750.0 | crash_dist 572.6 | final_dist 572.6 | reason: collision | fails_since_last=65 | 2074 ms
ep    65 | fail    | score   2230.56 | last_reward -500.0 | loss   8.741 | eps 0.100 | steps   64 | start_dist 750.0 | crash_dist 564.5 | final_dist 564.5 | reason: collision | fails_since_last=66 | 2176 ms
ep    66 | fail    | score   2149.38 | last_reward -500.0 | loss  10.722 | eps 0.100 | steps   62 | start_dist 750.0 | crash_dist 569.8 | final_dist 569.8 | reason: collision | fails_since_last=67 | 2111 ms
ep    67 | fail    | score   2280.98 | last_reward -500.0 | loss  21.055 | eps 0.100 | steps   65 | start_dist 750.0 | crash_dist 562.8 | final_dist 562.8 | reason: collision | fails_since_last=68 | 2211 ms
ep    68 | fail    | score    665.56 | last_reward -500.0 | loss  18.679 | eps 0.100 | steps   36 | start_dist 750.0 | crash_dist 675.5 | final_dist 675.5 | reason: collision | fails_since_last=69 | 1223 ms
ep    69 | fail    | score   1478.88 | last_reward -500.0 | loss  11.119 | eps 0.100 | steps   47 | start_dist 750.0 | crash_dist 611.4 | final_dist 611.4 | reason: collision | fails_since_last=70 | 1596 ms
